2011-03-07 04:07:59 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:59 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:07:59 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\app_controller.php, line 45]
2011-03-07 04:08:25 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\index.ctp, line 34]
2011-03-07 04:08:25 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\index.ctp, line 61]
2011-03-07 04:09:17 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\views\users\index.ctp, line 34]
2011-03-07 04:09:17 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\views\users\index.ctp, line 34]
2011-03-07 04:09:17 Debug: Notice (8): Use of undefined constant admin - assumed 'admin' in [C:\xampp\htdocs\caketourney\views\users\index.ctp, line 34]
2011-03-07 04:09:17 Debug: Notice (8): Use of undefined constant Auth - assumed 'Auth' in [C:\xampp\htdocs\caketourney\views\users\index.ctp, line 61]
2011-03-07 04:09:17 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\xampp\htdocs\caketourney\views\users\index.ctp, line 61]
2011-03-07 04:09:17 Debug: Notice (8): Use of undefined constant admin - assumed 'admin' in [C:\xampp\htdocs\caketourney\views\users\index.ctp, line 61]
2011-03-07 04:09:37 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\edit.ctp, line 13]
2011-03-07 12:52:01 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\edit.ctp, line 13]
2011-03-07 12:53:56 Debug: Notice (8): Undefined variable: data in [C:\xampp\htdocs\caketourney\views\users\edit.ctp, line 13]
2011-03-07 13:01:04 Debug: Notice (8): Undefined index: password in [C:\xampp\htdocs\caketourney\models\user.php, line 140]
2011-03-07 13:01:04 Debug: Notice (8): Undefined index: password_confirm in [C:\xampp\htdocs\caketourney\models\user.php, line 140]
2011-03-07 13:01:04 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\account.ctp, line 3]
2011-03-07 13:01:04 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\account.ctp, line 10]
2011-03-07 13:01:04 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\account.ctp, line 11]
2011-03-07 13:01:04 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\account.ctp, line 12]
2011-03-07 13:01:33 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\account.ctp, line 3]
2011-03-07 13:01:33 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\account.ctp, line 10]
2011-03-07 13:01:33 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\account.ctp, line 11]
2011-03-07 13:01:33 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\account.ctp, line 12]
2011-03-07 13:02:36 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\account.ctp, line 3]
2011-03-07 13:02:36 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\account.ctp, line 10]
2011-03-07 13:02:36 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\account.ctp, line 11]
2011-03-07 13:02:36 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\account.ctp, line 12]
2011-03-07 15:53:52 Debug: Notice (8): Undefined variable: current_user in [C:\xampp\htdocs\caketourney\views\users\view.ctp, line 43]
2011-03-07 16:44:16 Debug: Notice (8): Undefined property: TournamentsController::$KOTournament in [C:\xampp\htdocs\caketourney\controllers\tournaments_controller.php, line 24]
2011-03-07 16:46:17 Debug: Notice (8): Undefined property: TournamentsController::$KOTournament in [C:\xampp\htdocs\caketourney\controllers\tournaments_controller.php, line 25]
2011-03-07 16:57:10 Debug: Notice (8): Undefined index: Tournament in [C:\xampp\htdocs\caketourney\views\k_o_tournaments\index.ctp, line 20]
